kernel;c_value;gamma;degree;coef0;class;precision;recall;f1;accuracy
poly;1.00;scale;2;0;0;0.9853;0.9873;0.9863;0.9884
poly;1.00;scale;2;0;1;0.9991;1.0000;0.9995;0.9997
poly;1.00;scale;2;0;2;0.9833;0.9798;0.9816;0.9886
poly;1.00;scale;3;0;0;0.9838;0.9877;0.9858;0.9879
poly;1.00;scale;3;0;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;3;0;2;0.9835;0.9778;0.9806;0.9880
poly;1.00;scale;4;0;0;0.9812;0.9880;0.9846;0.9869
poly;1.00;scale;4;0;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;4;0;2;0.9838;0.9741;0.9789;0.9870
poly;1.00;scale;5;0;0;0.9751;0.9898;0.9824;0.9850
poly;1.00;scale;5;0;1;0.9997;1.0000;0.9999;0.9999
poly;1.00;scale;5;0;2;0.9860;0.9654;0.9756;0.9851
poly;1.00;scale;6;0;0;0.9654;0.9921;0.9785;0.9816
poly;1.00;scale;6;0;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;scale;6;0;2;0.9889;0.9514;0.9698;0.9816
poly;10.00;scale;2;0;0;0.9846;0.9867;0.9857;0.9878
poly;10.00;scale;2;0;1;0.9990;0.9999;0.9994;0.9997
poly;10.00;scale;2;0;2;0.9826;0.9790;0.9808;0.9881
poly;10.00;scale;3;0;0;0.9827;0.9875;0.9851;0.9874
poly;10.00;scale;3;0;1;0.9993;0.9999;0.9996;0.9998
poly;10.00;scale;3;0;2;0.9834;0.9764;0.9799;0.9876
poly;10.00;scale;4;0;0;0.9794;0.9897;0.9845;0.9868
poly;10.00;scale;4;0;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;4;0;2;0.9859;0.9716;0.9787;0.9869
poly;10.00;scale;5;0;0;0.9738;0.9922;0.9829;0.9854
poly;10.00;scale;5;0;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;5;0;2;0.9892;0.9635;0.9762;0.9854
poly;10.00;scale;6;0;0;0.9711;0.9930;0.9819;0.9845
poly;10.00;scale;6;0;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;6;0;2;0.9903;0.9595;0.9747;0.9846
poly;0.10;scale;3;0;0;0.9767;0.9877;0.9822;0.9848
poly;0.10;scale;3;0;1;0.9997;1.0000;0.9999;0.9999
poly;0.10;scale;3;0;2;0.9832;0.9678;0.9754;0.9849
poly;0.10;scale;2;0;0;0.9769;0.9902;0.9835;0.9859
poly;0.10;scale;2;0;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;scale;2;0;2;0.9870;0.9679;0.9774;0.9861
poly;0.10;scale;4;0;0;0.9732;0.9876;0.9803;0.9832
poly;0.10;scale;4;0;1;0.9999;1.0000;1.0000;1.0000
poly;0.10;scale;4;0;2;0.9827;0.9628;0.9727;0.9833
poly;0.10;scale;5;0;0;0.9663;0.9884;0.9772;0.9805
poly;0.10;scale;5;0;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;5;0;2;0.9836;0.9529;0.9680;0.9805
poly;0.10;scale;6;0;0;0.9523;0.9896;0.9706;0.9746
poly;0.10;scale;6;0;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;6;0;2;0.9849;0.9322;0.9578;0.9746
poly;10.00;scale;1;0;0;0.9794;0.9885;0.9839;0.9863
poly;10.00;scale;1;0;1;0.9982;1.0000;0.9991;0.9995
poly;10.00;scale;1;0;2;0.9855;0.9715;0.9785;0.9868
poly;1.00;scale;1;0;0;0.9775;0.9898;0.9836;0.9860
poly;1.00;scale;1;0;1;0.9984;1.0000;0.9992;0.9996
poly;1.00;scale;1;0;2;0.9872;0.9688;0.9779;0.9865
poly;0.10;scale;1;0;0;0.9748;0.9876;0.9812;0.9839
poly;0.10;scale;1;0;1;0.9986;1.0000;0.9993;0.9996
poly;0.10;scale;1;0;2;0.9839;0.9651;0.9744;0.9843
poly;0.10;scale;3;10;0;0.9862;0.9863;0.9862;0.9883
poly;0.10;scale;3;10;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;3;10;2;0.9812;0.9811;0.9811;0.9883
poly;0.10;scale;2;100;0;0.9857;0.9864;0.9861;0.9882
poly;0.10;scale;2;100;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;2;100;2;0.9814;0.9805;0.9809;0.9882
poly;0.10;scale;4;1;0;0.9851;0.9867;0.9859;0.9880
poly;0.10;scale;4;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;1;2;0.9817;0.9796;0.9807;0.9880
poly;0.10;scale;2;1;0;0.9842;0.9859;0.9850;0.9873
poly;0.10;scale;2;1;1;0.9993;1.0000;0.9997;0.9998
poly;0.10;scale;2;1;2;0.9812;0.9783;0.9798;0.9875
poly;0.10;scale;3;1;0;0.9848;0.9863;0.9856;0.9878
poly;0.10;scale;3;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;3;1;2;0.9813;0.9792;0.9802;0.9878
poly;0.10;scale;2;10;0;0.9857;0.9862;0.9859;0.9881
poly;0.10;scale;2;10;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;2;10;2;0.9811;0.9804;0.9808;0.9881
poly;0.10;scale;4;10;0;0.9859;0.9863;0.9861;0.9882
poly;0.10;scale;4;10;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;10;2;0.9813;0.9807;0.9810;0.9882
poly;0.10;scale;3;100;0;0.9860;0.9862;0.9861;0.9882
poly;0.10;scale;3;100;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;3;100;2;0.9811;0.9809;0.9810;0.9882
poly;1.00;scale;2;1;0;0.9857;0.9861;0.9859;0.9881
poly;1.00;scale;2;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;2;1;2;0.9810;0.9805;0.9807;0.9881
poly;1.00;scale;2;100;0;0.9860;0.9862;0.9861;0.9882
poly;1.00;scale;2;100;1;0.9999;1.0000;1.0000;1.0000
poly;1.00;scale;2;100;2;0.9811;0.9809;0.9810;0.9882
poly;1.00;scale;3;10;0;0.9864;0.9857;0.9861;0.9882
poly;1.00;scale;3;10;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;3;10;2;0.9805;0.9814;0.9809;0.9882
poly;1.00;scale;2;10;0;0.9860;0.9862;0.9861;0.9882
poly;1.00;scale;2;10;1;0.9999;1.0000;1.0000;1.0000
poly;1.00;scale;2;10;2;0.9812;0.9808;0.9810;0.9882
poly;1.00;scale;4;1;0;0.9858;0.9867;0.9862;0.9883
poly;1.00;scale;4;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;4;1;2;0.9818;0.9805;0.9812;0.9883
poly;0.10;scale;4;100;0;0.9852;0.9872;0.9862;0.9883
poly;0.10;scale;4;100;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;100;2;0.9824;0.9798;0.9811;0.9883
poly;1.00;scale;3;1;0;0.9858;0.9863;0.9861;0.9882
poly;1.00;scale;3;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;3;1;2;0.9813;0.9806;0.9809;0.9882
poly;0.10;scale;5;10;0;0.9858;0.9867;0.9863;0.9884
poly;0.10;scale;5;10;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;5;10;2;0.9818;0.9806;0.9812;0.9884
poly;0.10;scale;5;1;0;0.9855;0.9866;0.9860;0.9882
poly;0.10;scale;5;1;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;5;1;2;0.9817;0.9801;0.9809;0.9882
poly;10.00;scale;2;1;0;0.9857;0.9861;0.9859;0.9880
poly;10.00;scale;2;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;2;1;2;0.9810;0.9804;0.9807;0.9880
poly;1.00;scale;3;100;0;0.9856;0.9871;0.9864;0.9884
poly;1.00;scale;3;100;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;3;100;2;0.9823;0.9803;0.9813;0.9884
poly;1.00;scale;4;10;0;0.9858;0.9869;0.9863;0.9884
poly;1.00;scale;4;10;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;4;10;2;0.9820;0.9805;0.9812;0.9884
poly;10.00;scale;2;10;0;0.9857;0.9861;0.9859;0.9880
poly;10.00;scale;2;10;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;2;10;2;0.9810;0.9804;0.9807;0.9880
poly;1.00;scale;4;100;0;0.9849;0.9875;0.9862;0.9883
poly;1.00;scale;4;100;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;4;100;2;0.9828;0.9794;0.9811;0.9883
poly;10.00;scale;2;100;0;0.9857;0.9862;0.9860;0.9881
poly;10.00;scale;2;100;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;2;100;2;0.9811;0.9805;0.9808;0.9881
poly;10.00;scale;3;10;0;0.9860;0.9863;0.9862;0.9883
poly;10.00;scale;3;10;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;3;10;2;0.9812;0.9809;0.9811;0.9883
poly;0.10;scale;5;100;0;0.9860;0.9864;0.9862;0.9883
poly;0.10;scale;5;100;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;5;100;2;0.9814;0.9809;0.9811;0.9883
poly;10.00;scale;4;1;0;0.9856;0.9871;0.9864;0.9884
poly;10.00;scale;4;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;4;1;2;0.9823;0.9803;0.9813;0.9884
poly;10.00;scale;3;1;0;0.9859;0.9866;0.9862;0.9883
poly;10.00;scale;3;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;3;1;2;0.9816;0.9807;0.9812;0.9883
poly;1.00;scale;5;1;0;0.9857;0.9873;0.9865;0.9886
poly;1.00;scale;5;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;5;1;2;0.9826;0.9804;0.9815;0.9886
poly;10.00;scale;3;100;0;0.9854;0.9869;0.9861;0.9882
poly;10.00;scale;3;100;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;3;100;2;0.9820;0.9800;0.9810;0.9882
poly;10.00;scale;4;100;0;0.9828;0.9869;0.9849;0.9872
poly;10.00;scale;4;100;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;4;100;2;0.9820;0.9764;0.9792;0.9872
poly;1.00;scale;5;10;0;0.9856;0.9870;0.9863;0.9884
poly;1.00;scale;5;10;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;5;10;2;0.9822;0.9803;0.9812;0.9884
poly;10.00;scale;4;10;0;0.9860;0.9868;0.9864;0.9885
poly;10.00;scale;4;10;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;4;10;2;0.9819;0.9808;0.9814;0.9885
poly;1.00;scale;5;100;0;0.9866;0.9860;0.9863;0.9884
poly;1.00;scale;5;100;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;5;100;2;0.9808;0.9816;0.9812;0.9884
poly;10.00;scale;5;1;0;0.9857;0.9872;0.9864;0.9885
poly;10.00;scale;5;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;5;1;2;0.9824;0.9804;0.9814;0.9885
poly;10.00;scale;5;10;0;0.9859;0.9862;0.9860;0.9882
poly;10.00;scale;5;10;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;5;10;2;0.9811;0.9807;0.9809;0.9882
poly;10.00;scale;5;100;0;0.9859;0.9867;0.9863;0.9884
poly;10.00;scale;5;100;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;5;100;2;0.9818;0.9807;0.9813;0.9884
poly;1.00;scale;1;1;0;0.9776;0.9892;0.9834;0.9858
poly;1.00;scale;1;1;1;0.9981;1.0000;0.9991;0.9995
poly;1.00;scale;1;1;2;0.9866;0.9690;0.9777;0.9863
poly;1.00;scale;1;10;0;0.9776;0.9893;0.9834;0.9859
poly;1.00;scale;1;10;1;0.9981;1.0000;0.9991;0.9995
poly;1.00;scale;1;10;2;0.9867;0.9690;0.9778;0.9864
poly;0.10;scale;6;1;0;0.9839;0.9883;0.9861;0.9882
poly;0.10;scale;6;1;1;0.9999;1.0000;1.0000;1.0000
poly;0.10;scale;6;1;2;0.9840;0.9779;0.9809;0.9882
poly;1.00;scale;1;100;0;0.9776;0.9892;0.9834;0.9858
poly;1.00;scale;1;100;1;0.9981;1.0000;0.9991;0.9995
poly;1.00;scale;1;100;2;0.9866;0.9690;0.9777;0.9863
poly;0.10;scale;1;10;0;0.9749;0.9879;0.9814;0.9841
poly;0.10;scale;1;10;1;0.9989;0.9993;0.9991;0.9995
poly;0.10;scale;1;10;2;0.9842;0.9658;0.9749;0.9846
poly;0.10;scale;1;100;0;0.9749;0.9880;0.9814;0.9842
poly;0.10;scale;1;100;1;0.9989;0.9993;0.9991;0.9995
poly;0.10;scale;1;100;2;0.9842;0.9658;0.9750;0.9846
poly;0.10;scale;1;1;0;0.9749;0.9879;0.9814;0.9841
poly;0.10;scale;1;1;1;0.9989;0.9993;0.9991;0.9995
poly;0.10;scale;1;1;2;0.9841;0.9658;0.9749;0.9846
poly;10.00;scale;1;1;0;0.9787;0.9889;0.9837;0.9862
poly;10.00;scale;1;1;1;0.9980;1.0000;0.9990;0.9995
poly;10.00;scale;1;1;2;0.9863;0.9705;0.9783;0.9867
poly;10.00;scale;1;10;0;0.9787;0.9889;0.9837;0.9862
poly;10.00;scale;1;10;1;0.9980;1.0000;0.9990;0.9995
poly;10.00;scale;1;10;2;0.9863;0.9705;0.9783;0.9867
poly;0.10;scale;6;100;0;0.9848;0.9874;0.9861;0.9882
poly;0.10;scale;6;100;1;0.9999;1.0000;1.0000;1.0000
poly;0.10;scale;6;100;2;0.9828;0.9791;0.9809;0.9882
poly;10.00;scale;1;100;0;0.9787;0.9889;0.9837;0.9862
poly;10.00;scale;1;100;1;0.9980;1.0000;0.9990;0.9995
poly;10.00;scale;1;100;2;0.9863;0.9705;0.9783;0.9867
poly;1.00;scale;6;1;0;0.9844;0.9885;0.9865;0.9885
poly;1.00;scale;6;1;1;0.9999;1.0000;1.0000;1.0000
poly;1.00;scale;6;1;2;0.9843;0.9786;0.9815;0.9885
poly;1.00;scale;6;100;0;0.9848;0.9878;0.9863;0.9884
poly;1.00;scale;6;100;1;0.9999;1.0000;1.0000;1.0000
poly;1.00;scale;6;100;2;0.9833;0.9791;0.9812;0.9884
poly;0.10;scale;6;10;0;0.9847;0.9879;0.9863;0.9884
poly;0.10;scale;6;10;1;0.9999;1.0000;1.0000;1.0000
poly;0.10;scale;6;10;2;0.9835;0.9790;0.9812;0.9884
poly;10.00;scale;6;1;0;0.9839;0.9882;0.9860;0.9881
poly;10.00;scale;6;1;1;0.9999;1.0000;1.0000;1.0000
poly;10.00;scale;6;1;2;0.9838;0.9778;0.9808;0.9881
poly;10.00;scale;6;10;0;0.9850;0.9873;0.9862;0.9883
poly;10.00;scale;6;10;1;0.9999;1.0000;1.0000;1.0000
poly;10.00;scale;6;10;2;0.9827;0.9794;0.9811;0.9883
poly;1.00;scale;6;10;0;0.9847;0.9880;0.9864;0.9884
poly;1.00;scale;6;10;1;0.9999;1.0000;1.0000;1.0000
poly;1.00;scale;6;10;2;0.9836;0.9790;0.9813;0.9884
poly;10.00;scale;6;100;0;0.9852;0.9872;0.9862;0.9883
poly;10.00;scale;6;100;1;0.9999;1.0000;1.0000;1.0000
poly;10.00;scale;6;100;2;0.9825;0.9797;0.9811;0.9883
poly;1.00;scale;1;0;0;0.9774;0.9888;0.9831;0.9856
poly;1.00;scale;1;0;1;0.9981;1.0000;0.9991;0.9995
poly;1.00;scale;1;0;2;0.9860;0.9688;0.9773;0.9861
poly;1.00;10;1;0;0;0.9776;0.9886;0.9831;0.9856
poly;1.00;10;1;0;1;0.9981;1.0000;0.9991;0.9995
poly;1.00;10;1;0;2;0.9858;0.9691;0.9774;0.9861
poly;0.10;10;1;0;0;0.9753;0.9892;0.9822;0.9848
poly;0.10;10;1;0;1;0.9987;0.9998;0.9992;0.9996
poly;0.10;10;1;0;2;0.9860;0.9659;0.9759;0.9852
poly;10.00;scale;1;0;0;0.9787;0.9869;0.9828;0.9854
poly;10.00;scale;1;0;1;0.9981;1.0000;0.9991;0.9995
poly;10.00;scale;1;0;2;0.9835;0.9706;0.9770;0.9859
poly;1.00;1;1;0;0;0.9750;0.9894;0.9821;0.9848
poly;1.00;1;1;0;1;0.9987;0.9998;0.9992;0.9996
poly;1.00;1;1;0;2;0.9864;0.9654;0.9758;0.9852
poly;10.00;1;1;0;0;0.9776;0.9886;0.9831;0.9856
poly;10.00;1;1;0;1;0.9981;1.0000;0.9991;0.9995
poly;10.00;1;1;0;2;0.9858;0.9691;0.9774;0.9861
poly;10.00;10;1;0;0;0.9789;0.9867;0.9828;0.9854
poly;10.00;10;1;0;1;0.9981;1.0000;0.9991;0.9995
poly;10.00;10;1;0;2;0.9832;0.9709;0.9770;0.9859
poly;0.10;scale;1;0;0;0.9741;0.9873;0.9807;0.9835
poly;0.10;scale;1;0;1;0.9990;0.9996;0.9993;0.9996
poly;0.10;scale;1;0;2;0.9832;0.9645;0.9738;0.9839
poly;10.00;0.1;1;0;0;0.9755;0.9892;0.9823;0.9849
poly;10.00;0.1;1;0;1;0.9987;0.9998;0.9992;0.9996
poly;10.00;0.1;1;0;2;0.9861;0.9662;0.9761;0.9853
poly;0.10;1;1;0;0;0.9692;0.9862;0.9776;0.9808
poly;0.10;1;1;0;1;0.9981;0.9999;0.9990;0.9995
poly;0.10;1;1;0;2;0.9822;0.9572;0.9695;0.9814
poly;1.00;0.1;1;0;0;0.9692;0.9862;0.9776;0.9808
poly;1.00;0.1;1;0;1;0.9981;0.9999;0.9990;0.9995
poly;1.00;0.1;1;0;2;0.9822;0.9572;0.9695;0.9814
poly;0.10;0.1;1;0;0;0.9745;0.8752;0.9222;0.9374
poly;0.10;0.1;1;0;1;0.8579;1.0000;0.9235;0.9558
poly;0.10;0.1;1;0;2;0.9719;0.9687;0.9703;0.9816
poly;0.10;10;1;1;0;0.9768;0.9899;0.9833;0.9858
poly;0.10;10;1;1;1;0.9988;0.9997;0.9992;0.9996
poly;0.10;10;1;1;2;0.9870;0.9680;0.9774;0.9862
poly;0.10;10;1;10;0;0.9768;0.9899;0.9833;0.9858
poly;0.10;10;1;10;1;0.9988;0.9997;0.9992;0.9996
poly;0.10;10;1;10;2;0.9870;0.9680;0.9774;0.9862
poly;0.10;10;1;100;0;0.9768;0.9899;0.9833;0.9858
poly;0.10;10;1;100;1;0.9988;0.9997;0.9992;0.9996
poly;0.10;10;1;100;2;0.9870;0.9680;0.9774;0.9862
poly;0.10;1;1;10;0;0.9703;0.9866;0.9784;0.9815
poly;0.10;1;1;10;1;0.9977;0.9997;0.9987;0.9993
poly;0.10;1;1;10;2;0.9832;0.9590;0.9709;0.9822
poly;0.10;1;1;1;0;0.9703;0.9866;0.9784;0.9815
poly;0.10;1;1;1;1;0.9977;0.9997;0.9987;0.9993
poly;0.10;1;1;1;2;0.9832;0.9590;0.9709;0.9822
poly;0.10;1;1;100;0;0.9703;0.9866;0.9784;0.9815
poly;0.10;1;1;100;1;0.9977;0.9997;0.9987;0.9993
poly;0.10;1;1;100;2;0.9832;0.9590;0.9709;0.9822
poly;1.00;0.1;1;1;0;0.9703;0.9866;0.9784;0.9815
poly;1.00;0.1;1;1;1;0.9977;0.9997;0.9987;0.9993
poly;1.00;0.1;1;1;2;0.9832;0.9590;0.9709;0.9822
poly;1.00;1;1;1;0;0.9768;0.9899;0.9833;0.9858
poly;1.00;1;1;1;1;0.9988;0.9997;0.9992;0.9996
poly;1.00;1;1;1;2;0.9870;0.9680;0.9774;0.9862
poly;1.00;1;1;100;0;0.9768;0.9899;0.9833;0.9858
poly;1.00;1;1;100;1;0.9988;0.9997;0.9992;0.9996
poly;1.00;1;1;100;2;0.9870;0.9680;0.9774;0.9862
poly;1.00;1;1;10;0;0.9768;0.9899;0.9833;0.9858
poly;1.00;1;1;10;1;0.9988;0.9997;0.9992;0.9996
poly;1.00;1;1;10;2;0.9870;0.9680;0.9774;0.9862
poly;1.00;10;1;1;0;0.9787;0.9891;0.9839;0.9863
poly;1.00;10;1;1;1;0.9977;0.9999;0.9988;0.9994
poly;1.00;10;1;1;2;0.9868;0.9707;0.9787;0.9869
poly;1.00;10;1;10;0;0.9787;0.9891;0.9839;0.9863
poly;1.00;10;1;10;1;0.9977;0.9999;0.9988;0.9994
poly;1.00;10;1;10;2;0.9868;0.9707;0.9787;0.9869
poly;1.00;0.1;1;10;0;0.9703;0.9866;0.9784;0.9815
poly;1.00;0.1;1;10;1;0.9977;0.9997;0.9987;0.9993
poly;1.00;0.1;1;10;2;0.9832;0.9590;0.9709;0.9822
poly;1.00;10;1;100;0;0.9787;0.9891;0.9839;0.9863
poly;1.00;10;1;100;1;0.9977;0.9999;0.9988;0.9994
poly;1.00;10;1;100;2;0.9868;0.9707;0.9787;0.9869
poly;10.00;0.1;1;10;0;0.9768;0.9899;0.9833;0.9858
poly;10.00;0.1;1;10;1;0.9988;0.9997;0.9992;0.9996
poly;10.00;0.1;1;10;2;0.9870;0.9680;0.9774;0.9862
poly;10.00;1;1;1;0;0.9788;0.9891;0.9839;0.9863
poly;10.00;1;1;1;1;0.9977;0.9999;0.9988;0.9994
poly;10.00;1;1;1;2;0.9868;0.9708;0.9787;0.9869
poly;10.00;0.1;1;1;0;0.9768;0.9899;0.9833;0.9858
poly;10.00;0.1;1;1;1;0.9988;0.9997;0.9992;0.9996
poly;10.00;0.1;1;1;2;0.9870;0.9680;0.9774;0.9862
poly;10.00;0.1;1;100;0;0.9766;0.9899;0.9832;0.9857
poly;10.00;0.1;1;100;1;0.9988;0.9997;0.9992;0.9996
poly;10.00;0.1;1;100;2;0.9870;0.9679;0.9774;0.9861
poly;10.00;1;1;10;0;0.9787;0.9891;0.9839;0.9863
poly;10.00;1;1;10;1;0.9977;0.9999;0.9988;0.9994
poly;10.00;1;1;10;2;0.9868;0.9707;0.9787;0.9869
poly;10.00;10;1;10;0;0.9801;0.9876;0.9838;0.9862
poly;10.00;10;1;10;1;0.9977;0.9999;0.9988;0.9993
poly;10.00;10;1;10;2;0.9848;0.9726;0.9787;0.9869
poly;10.00;1;1;100;0;0.9787;0.9891;0.9839;0.9863
poly;10.00;1;1;100;1;0.9977;0.9999;0.9988;0.9994
poly;10.00;1;1;100;2;0.9868;0.9707;0.9787;0.9869
poly;1.00;0.1;1;100;0;0.9703;0.9866;0.9784;0.9815
poly;1.00;0.1;1;100;1;0.9977;0.9997;0.9987;0.9993
poly;1.00;0.1;1;100;2;0.9832;0.9590;0.9709;0.9822
poly;10.00;10;1;100;0;0.9801;0.9876;0.9838;0.9862
poly;10.00;10;1;100;1;0.9977;0.9999;0.9988;0.9993
poly;10.00;10;1;100;2;0.9848;0.9726;0.9787;0.9869
poly;10.00;10;1;1;0;0.9801;0.9876;0.9838;0.9862
poly;10.00;10;1;1;1;0.9977;0.9999;0.9988;0.9993
poly;10.00;10;1;1;2;0.9848;0.9726;0.9787;0.9869
poly;0.10;0.1;1;10;0;0.9746;0.8707;0.9198;0.9357
poly;0.10;0.1;1;10;1;0.8555;1.0000;0.9222;0.9550
poly;0.10;0.1;1;10;2;0.9687;0.9690;0.9688;0.9807
poly;0.10;0.1;1;1;0;0.9746;0.8707;0.9198;0.9357
poly;0.10;0.1;1;1;1;0.8555;1.0000;0.9222;0.9550
poly;0.10;0.1;1;1;2;0.9687;0.9690;0.9688;0.9807
poly;0.10;0.1;1;100;0;0.9747;0.8706;0.9197;0.9356
poly;0.10;0.1;1;100;1;0.8555;1.0000;0.9222;0.9550
poly;0.10;0.1;1;100;2;0.9685;0.9691;0.9688;0.9807
